object,focus_context,chat_gpt_response,conceptnet_response,conceptnet_path
apple,bathroom,kitchen,kitchen,kitchen (AtLocation) <- food (RelatedTo) -> apple
apple,bathroom,kitchen,kitchen,kitchen (AtLocation) <- food (RelatedTo) -> apple
apple,bathroom,kitchen,kitchen,kitchen (AtLocation) <- food (RelatedTo) -> apple
apple,bathroom,kitchen,kitchen,kitchen (AtLocation) <- food (RelatedTo) -> apple
apple,bathroom,kitchen,kitchen,kitchen (AtLocation) <- food (RelatedTo) -> apple
apple,bathroom,kitchen,kitchen,kitchen (AtLocation) <- food (RelatedTo) -> apple
apple,bathroom,kitchen,kitchen,kitchen (AtLocation) <- food (RelatedTo) -> apple
apple,bathroom,kitchen,kitchen,kitchen (AtLocation) <- food (RelatedTo) -> apple
apple,bathroom,kitchen,kitchen,kitchen (AtLocation) <- food (RelatedTo) -> apple
apple,bathroom,kitchen,kitchen,kitchen (AtLocation) <- food (RelatedTo) -> apple
apple,living_room,kitchen,kitchen,kitchen (AtLocation) <- food (RelatedTo) -> apple
apple,living_room,kitchen,kitchen,kitchen (AtLocation) <- food (RelatedTo) -> apple
apple,living_room,kitchen,kitchen,kitchen (AtLocation) <- food (RelatedTo) -> apple
apple,living_room,kitchen,kitchen,kitchen (AtLocation) <- food (RelatedTo) -> apple
apple,living_room,kitchen,kitchen,kitchen (AtLocation) <- food (RelatedTo) -> apple
apple,living_room,kitchen,kitchen,kitchen (AtLocation) <- food (RelatedTo) -> apple
apple,living_room,kitchen,kitchen,kitchen (AtLocation) <- food (RelatedTo) -> apple
apple,living_room,kitchen,kitchen,kitchen (AtLocation) <- food (RelatedTo) -> apple
apple,living_room,kitchen,kitchen,kitchen (AtLocation) <- food (RelatedTo) -> apple
apple,living_room,kitchen,kitchen,kitchen (AtLocation) <- food (RelatedTo) -> apple
apple,bedroom,kitchen,bedroom,bedroom (AtLocation) <- house (AtLocation) <- apple
apple,bedroom,kitchen,bedroom,bedroom (AtLocation) <- house (AtLocation) <- apple
apple,bedroom,kitchen,bedroom,bedroom (AtLocation) <- house (AtLocation) <- apple
apple,bedroom,kitchen,bedroom,bedroom (AtLocation) <- house (AtLocation) <- apple
apple,bedroom,kitchen,bedroom,bedroom (AtLocation) <- house (AtLocation) <- apple
apple,bedroom,kitchen,bedroom,bedroom (AtLocation) <- house (AtLocation) <- apple
apple,bedroom,kitchen,bedroom,bedroom (AtLocation) <- house (AtLocation) <- apple
apple,bedroom,kitchen,bedroom,bedroom (AtLocation) <- house (AtLocation) <- apple
apple,bedroom,kitchen,bedroom,bedroom (AtLocation) <- house (AtLocation) <- apple
apple,bedroom,kitchen,bedroom,bedroom (AtLocation) <- house (AtLocation) <- apple
