object,category,group,chat_gpt_context,conceptnet_context,conceptnet_path,fasttext_similarity_chat_gpt,word2vec_similarity_chat_gpt,glove_similarity_chat_gpt,average_similarity_chat_gpt,fasttext_similarity_conceptnet,word2vec_similarity_conceptnet,glove_similarity_conceptnet,average_similarity_conceptnet
apple,Fruits,"['bedroom', 'kitchen', 'garden', 'office']",kitchen,kitchen,kitchen (AtLocation) <- food (RelatedTo) -> apple,0.19525370001792908,0.1500253677368164,0.19875599443912506,0.1813450207312902,0.19525370001792908,0.1500253677368164,0.19875599443912506,0.1813450207312902
apple,Fruits,"['playroom', 'dining_room', 'laundry_room', 'living_room']",dining_room,playroom,playroom (AtLocation) <- ball (RelatedTo) -> apple,0.02846646122634411,0.10004158318042755,0.12824341654777527,0.0855838203181823,0.08269213885068893,0.09085994958877563,-0.07638087123632431,0.03239040573438009
orange,Fruits,"['bedroom', 'kitchen', 'garden', 'office']",kitchen,kitchen,kitchen (AtLocation) <- food (IsA) <- orange,0.16967488825321198,0.08993031084537506,0.14125093817710876,0.13361871242523193,0.16967488825321198,0.08993031084537506,0.14125093817710876,0.13361871242523193
orange,Fruits,"['playroom', 'dining_room', 'laundry_room', 'living_room']",dining_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- food (IsA) <- orange,0.12956441938877106,0.17027859389781952,0.16659583151340485,0.15547961493333182,0.12956441938877106,0.17027859389781952,0.16659583151340485,0.15547961493333182
lemon,Fruits,"['bedroom', 'kitchen', 'garden', 'office']",kitchen,kitchen,kitchen (AtLocation) <- fridge (AtLocation) <- lemon,0.2036520540714264,0.19525223970413208,0.1408146321773529,0.17990630865097046,0.2036520540714264,0.19525223970413208,0.1408146321773529,0.17990630865097046
lemon,Fruits,"['playroom', 'dining_room', 'laundry_room', 'living_room']",dining_room,playroom,playroom (UsedFor) -> children (RelatedTo) -> bishop/n/wikt/en_1 (RelatedTo) -> lemon,0.09229952096939087,0.1868106871843338,0.1502649039030075,0.14312503735224405,0.027850348502397537,0.11969712376594543,-0.05072057619690895,0.03227563202381134
banana,Fruits,"['bedroom', 'kitchen', 'garden', 'office']",kitchen,kitchen,kitchen (AtLocation) <- food (IsA) <- banana,0.2074933499097824,0.16108699142932892,0.12159039080142975,0.16339024404684702,0.2074933499097824,0.16108699142932892,0.12159039080142975,0.16339024404684702
banana,Fruits,"['playroom', 'dining_room', 'laundry_room', 'living_room']",dining_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- food (IsA) <- banana,0.11018091440200806,0.10368241369724274,0.04625635966658592,0.08670656258861224,0.11018091440200806,0.10368241369724274,0.04625635966658592,0.08670656258861224
bottle,Beverages,"['bedroom', 'kitchen', 'garden', 'office']",kitchen,kitchen,kitchen (AtLocation) <- fridge (AtLocation) <- bottle,0.2486039251089096,0.23146119713783264,0.32512494921684265,0.26839669048786163,0.2486039251089096,0.23146119713783264,0.32512494921684265,0.26839669048786163
bottle,Beverages,"['playroom', 'dining_room', 'laundry_room', 'living_room']",dining_room,dining_room,dining_room (AtLocation) <- glass (RelatedTo) -> container (IsA) <- bottle,0.03968483954668045,0.17052766680717468,0.29765188694000244,0.16928813109795252,0.03968483954668045,0.17052766680717468,0.29765188694000244,0.16928813109795252
