object,context1,avg_similarity_context1,context2,avg_similarity_context2,ambiguity_diff,ground_truth_context,chat_gpt_context,conceptnet_context,conceptnet_path
apple,office,0.1063598642746607,pantry,0.1072659244139989,0.0009060601393382078,pantry,pantry,pantry,pantry (AtLocation) <- fruit (RelatedTo) -> apple
orange,office,0.1138243203361829,bedroom,0.115421953300635,0.0015976329644521031,bedroom,bedroom,office,office (AtLocation) <- computer (RelatedTo) -> apple (RelatedTo) -> orange
lemon,dining_room,0.143125037352244,pantry,0.1390411307414372,0.004083906610806792,dining_room,pantry,pantry,pantry (AtLocation) <- fruit (RelatedTo) -> lemon
banana,bedroom,0.0812062285840511,dining_room,0.0867065625886122,0.005500334004561097,dining_room,dining_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- food (IsA) <- banana
bottle,office,0.0737818454702695,playroom,0.0746744087276359,0.0008925632573663911,playroom,office,office,office (AtLocation) <- door (RelatedTo) -> house (RelatedTo) -> bottle
beer,kitchen,0.2417089492082595,garden,0.2373182624578476,0.004390686750411904,kitchen,kitchen,kitchen,kitchen (AtLocation) <- fridge (AtLocation) <- beer
juice,playroom,0.0838402883770565,bedroom,0.0805899103482564,0.0032503780288000994,playroom,playroom,bedroom,bedroom (AtLocation) <- electricity (RelatedTo) -> juice
wine,bedroom,0.1197550470630327,bathroom,0.1190619766712188,0.0006930703918138909,bedroom,bedroom,bathroom,bathroom (AtLocation) <- water (UsedFor) -> drink (RelatedTo) -> wine
carrot,playroom,0.0257495564098159,bathroom,0.0277492444511153,0.001999688041299401,bathroom,playroom,bathroom,bathroom (AtLocation) <- human (RelatedTo) -> body (RelatedTo) -> flesh (RelatedTo) -> carrot
bell_pepper,kitchen,0.1969767610232035,living_room,0.2007032260298729,0.0037264650066693994,living_room,kitchen,kitchen,kitchen (AtLocation) <- potato (RelatedTo) -> ajapsandali/n (RelatedTo) -> bell_pepper
cucumber,dining_room,0.1093072096506754,bathroom,0.1105936430394649,0.0012864333887894902,bathroom,dining_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- food (IsA) <- vegetable (IsA) <- cucumber
broccoli,dining_room,0.0864417168001333,laundry_room,0.0897980385149518,0.0033563217148185054,laundry_room,dining_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- plate (AtLocation) <- broccoli
pretzel,garden,0.0980065216620763,bathroom,0.097747478634119,0.00025904302795728973,garden,garden,bathroom,bathroom (AtLocation) <- tap (RelatedTo) -> dance (RelatedTo) -> twist (RelatedTo) -> pretzel
popcorn,dining_room,0.16266946742932,bathroom,0.1633301277955373,0.0006606603662172861,bathroom,dining_room,dining_room,dining_room (AtLocation) <- glass (RelatedTo) -> jar (AtLocation) <- popcorn
muffin,playroom,0.1253715629378954,garden,0.1279942433660229,0.002622680428127494,garden,playroom,playroom,playroom (AtLocation) <- ball (RelatedTo) -> round (RelatedTo) -> plate (RelatedTo) -> muffin
chocolate,garden,0.1709121018648147,bathroom,0.1728058407704035,0.0018937389055888043,bathroom,garden,bathroom,bathroom (AtLocation) <- water (UsedFor) -> drink (RelatedTo) -> chocolate
pen,living_room,0.1306387682755788,bedroom,0.1318791359663009,0.0012403676907221106,bedroom,living_room,bedroom,bedroom (AtLocation) <- table (AtLocation) <- pen
adhesive_tape,living_room,0.2075649847586949,dining_room,0.2084813875456651,0.0009164027869701941,dining_room,living_room,dining_room,dining_room (AtLocation) <- glass (RelatedTo) -> transparent (RelatedTo) -> scotch_tape/n (RelatedTo) -> adhesive_tape
stapler,kitchen,0.2046903868516286,bathroom,0.2056468240916729,0.0009564372400442944,bathroom,kitchen,kitchen,kitchen (AtLocation) <- table (RelatedTo) -> desk (AtLocation) <- stapler
scissors,playroom,0.1421116515994072,bedroom,0.1463718165953954,0.0042601649959881915,bedroom,playroom,bedroom,bedroom (AtLocation) <- desk (AtLocation) <- scissors
ball,living_room,0.1105404185752074,laundry_room,0.1091993153095245,0.0013411032656829025,living_room,living_room,living_room,living_room (AtLocation) <- human (RelatedTo) -> eye (RelatedTo) -> ball
dice,dining_room,0.0751844396193822,laundry_room,0.0752626744409402,7.823482155799866e-05,laundry_room,dining_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- game (IsA) <- dice
teddy_bear,playroom,0.1582043195764223,bathroom,0.1578348005811373,0.0003695189952850064,playroom,playroom,bathroom,bathroom (AtLocation) <- shelf (AtLocation) <- teddy_bear
toy,pantry,0.1498256449898084,garden,0.1514278873801231,0.001602242390314701,garden,garden,pantry,pantry (AtLocation) <- container (AtLocation) <- item (RelatedTo) -> toy
bowl,garden,0.1836611032485962,bathroom,0.1842718571424484,0.0006107538938522061,bathroom,garden,garden,garden (AtLocation) <- bird (RelatedTo) -> nest (RelatedTo) -> bowl
knife,dining_room,0.147086593012015,garden,0.1559484948714574,0.008861901859442411,garden,dining_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- knife
spoon,dining_room,0.168601373831431,laundry_room,0.1641521652539571,0.004449208577473912,dining_room,dining_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- spoon
mug,office,0.1157251199086507,laundry_room,0.1185219610730807,0.0027968411644300056,laundry_room,office,office,office (AtLocation) <- coffee (RelatedTo) -> mug
glove,kitchen,0.1843696435292562,bedroom,0.1802735527356465,0.004096090793609702,kitchen,kitchen,bedroom,bedroom (AtLocation) <- condom (RelatedTo) -> glove
belt,kitchen,0.0918757319450378,bedroom,0.0919606996079285,8.49676628907059e-05,bedroom,bedroom,bedroom,bedroom (AtLocation) <- closet (AtLocation) <- belt
sock,kitchen,0.1564611494541168,playroom,0.1583558072646459,0.00189465781052911,playroom,playroom,kitchen,kitchen (AtLocation) <- drawer (AtLocation) <- sock
tie,bedroom,0.0848937183618545,dining_room,0.0881969419618447,0.0033032235999902043,dining_room,bedroom,bedroom,bedroom (AtLocation) <- closet (AtLocation) <- clothing (RelatedTo) -> tie
computer_mouse,office,0.171554148197174,bedroom,0.1782482912143071,0.006694143017133114,bedroom,office,office,office (AtLocation) <- computer (RelatedTo) -> desktop (AtLocation) <- computer_mouse
coin,kitchen,0.0827215140064557,office,0.0847655422985553,0.0020440282920996117,office,office,office,office (AtLocation) <- money (RelatedTo) -> coin
calculator,office,0.1169883545177678,bedroom,0.1169827828804652,5.571637302609345e-06,office,office,office,office (AtLocation) <- calculator
mobile_phone,kitchen,0.1537460933128992,bathroom,0.1449459021290143,0.00880019118388492,kitchen,kitchen,kitchen,kitchen (AtLocation) <- table (AtLocation) <- computer (IsA) <- mobile_phone
remote_control,kitchen,0.1234690571824709,bedroom,0.1264100447297096,0.002940987547238691,bedroom,bedroom,bedroom,bedroom (AtLocation) <- television (AtLocation) <- remote_control
toothpaste,office,0.0247245871772368,living_room,0.0262684803456068,0.0015438931683699995,living_room,living_room,office,office (AtLocation) <- dentist (AtLocation) <- toothpaste
aerosol_can,kitchen,0.1087625653793414,bathroom,0.1124778408557176,0.0037152754763762064,bathroom,bathroom,bathroom,bathroom (AtLocation) <- gel (RelatedTo) -> shaving_gel/n (RelatedTo) -> aerosol_can
box,kitchen,0.2293192148208618,laundry_room,0.2292629008491834,5.631397167837893e-05,kitchen,kitchen,kitchen,kitchen (AtLocation) <- container (RelatedTo) -> box
boot,kitchen,0.1139198963840802,playroom,0.1146320477128028,0.0007121513287225989,playroom,playroom,kitchen,kitchen (AtLocation) <- cover (RelatedTo) -> boot
towel,playroom,0.1527800783514976,dining_room,0.1582722316185633,0.0054921532670657025,dining_room,dining_room,dining_room,dining_room (AtLocation) <- table (RelatedTo) -> napkin (RelatedTo) -> towel
flower,dining_room,0.1562855864564577,laundry_room,0.1566609715421994,0.0003753850857416974,laundry_room,dining_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- plant (RelatedTo) -> flower
candle,dining_room,0.1689083166420459,laundry_room,0.1737476363778114,0.004839319735765513,laundry_room,dining_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- candle
bell,dining_room,0.1481849153836568,garden,0.1439586629470189,0.004226252436637906,dining_room,dining_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- column (RelatedTo) -> bell
