object,context1,context2,chat_gpt_consistency,chat_gpt_most_chosen_context,chat_gpt_context_count,conceptnet_consistency,conceptnet_most_chosen_context,conceptnet_context_count
pen,kitchen,garden,1.0,dining_room,10,1.0,kitchen,10
adhesive_tape,kitchen,garden,0.5,kitchen,5,1.0,kitchen,10
stapler,kitchen,garden,1.0,office,10,1.0,kitchen,10
scissors,kitchen,garden,1.0,kitchen,10,1.0,garden,10
ball,kitchen,garden,1.0,garden,10,1.0,kitchen,10
dice,kitchen,garden,1.0,dining_room,10,1.0,kitchen,10
teddy_bear,kitchen,garden,1.0,dining_room,10,1.0,kitchen,10
toy,kitchen,garden,1.0,garden,10,1.0,kitchen,10
glove,kitchen,garden,1.0,garden,10,1.0,kitchen,10
belt,kitchen,garden,0.4,dining_room,4,1.0,kitchen,10
sock,kitchen,garden,0.7,pantry,7,1.0,kitchen,10
tie,kitchen,garden,1.0,dining_room,10,1.0,kitchen,10
computer_mouse,kitchen,garden,1.0,kitchen,10,1.0,kitchen,10
coin,kitchen,garden,1.0,dining_room,10,1.0,garden,10
calculator,kitchen,garden,1.0,kitchen,10,1.0,kitchen,10
mobile_phone,kitchen,garden,1.0,kitchen,10,1.0,kitchen,10
remote_control,kitchen,garden,0.9,dining_room,9,1.0,kitchen,10
toothpaste,kitchen,garden,0.9,bathroom,9,1.0,kitchen,10
aerosol_can,kitchen,garden,0.7,kitchen,7,1.0,kitchen,10
